classifier,rank,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,roc_auc,roc_auc_std,clf__C,clf__class_weight,clf__penalty,clf__solver,clf__max_depth,clf__max_features,clf__min_samples_leaf,clf__min_samples_split,clf__n_estimators,clf__learning_rate,clf__subsample,clf__gamma,clf__kernel
GradientBoostingClassifier,1,0.6414824213674788,0.007140189847403807,0.647351903298064,0.005150169810430621,0.6711195445920304,0.015500604865382184,0.6589616426476569,0.00936743194190269,0.687011136014361,0.006733222037002949,,,,,9.0,,,2.0,300.0,0.2,1.0,,
RandomForestClassifier,1,0.640777284184053,0.004310118093162165,0.6512191409281074,0.005168557861160545,0.6552561669829222,0.011879467200919236,0.653155934802831,0.005710816585152535,0.6965580042405425,0.005672820001704524,,balanced,,,,,1.0,5.0,100.0,,,,
SVC,1,0.5924997250987033,0.006230686767087679,0.6063665157447529,0.005053734125206735,0.6003795066413662,0.012344179102307831,0.6033260163581899,0.008406510751384039,0.621019951536412,0.002688617270237423,100.0,balanced,,,,,,,,,,scale,rbf
LogisticRegression,1,0.5159683559428132,0.005595737614217891,0.5339422941530966,0.0050915189311425925,0.49070208728652753,0.02911980944916869,0.5109977798642255,0.016617278844248216,0.5209562907598594,0.007131038383920936,0.1,balanced,l1,saga,,,,,,,,,
