mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__penalty,param_clf__solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,classifier,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_clf__learning_rate,param_clf__subsample,param_clf__gamma,param_clf__kernel
0.7634092807769776,0.028891786398249873,0.07111001014709473,0.028187325103848956,0.01,balanced,l1,saga,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.5162617554858934,0.5084247648902821,0.5099921630094044,0.5150862068965517,0.5046051342347638,0.5108740049033791,0.004309191645731698,19,0.5095273083517022,0.5114866519715895,0.511094783247612,0.5098212098946853,0.5124412225705329,0.5108742352072244,0.0010772390070117042,0.549404761904762,0.5397225725094578,0.5407542579075426,0.5477897252090801,0.5320551228280408,0.5419452880717767,0.006228572568227405,1,0.540088239768751,0.5425228738563072,0.5422908155545468,0.5405076759385925,0.544501822600243,0.5419822855436881,0.001580972887540563,0.35028462998102466,0.32485768500948764,0.3373814041745731,0.34800759013282734,0.3370018975332068,0.3395066413662239,0.009097400350040313,19,0.3368121442125237,0.34316888045540794,0.3400379506641366,0.3373814041745731,0.3401328273244782,0.3395066413662239,0.0022743500875100687,0.42780996523754344,0.40559109215825634,0.41551764430941807,0.42562079368763056,0.41263940520446096,0.41743578011946186,0.008265582304770551,19,0.41488926547069477,0.42041029813448016,0.4179835558924719,0.41544482738477717,0.4187105816398038,0.4174877057044456,0.002059518533623118,0.521841383439277,0.5145957116825486,0.5157947928122764,0.5207028635151785,0.5102756651361333,0.5166420833170828,0.004218044004008967,19,0.5153427809670215,0.5171540604808685,0.516854418370043,0.5156274109480461,0.51823368786232,0.5166424717256598,0.0010543393835410792,LogisticRegression,,,,,,,,,
0.12805428504943847,0.020306849810305623,0.07693204879760743,0.006112982704908287,0.01,balanced,l1,liblinear,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.5109717868338558,0.5023510971786834,0.5039184952978056,0.5092084639498433,0.5065647658240251,0.5066029218168426,0.0031987949516428175,20,0.5055106539309331,0.5076659319128092,0.5072740631888317,0.5059515062454077,0.5066124608150471,0.5066029232186058,0.0007997379044532371,0.5487035739313244,0.5357950263752826,0.5367594575303355,0.5460339943342776,0.5416370106761565,0.5417858125694753,0.0050413961711764255,2,0.5401262398557258,0.5433126660761736,0.543169987434931,0.5408273381294963,0.5419435961918448,0.5418759655376343,0.001257325289377363,0.29715370018975334,0.2698292220113852,0.2853889943074004,0.29259962049335864,0.2888045540796964,0.2867552182163188,0.009325675933757981,20,0.2841555977229602,0.2909867172675522,0.2870967741935484,0.2852941176470588,0.2862428842504744,0.2867552182163188,0.0023314189834395004,0.38552437223042835,0.358909641595154,0.3726461843409316,0.3810229799851742,0.37673267326732673,0.374967170283803,0.009104675152905518,20,0.3723966428349394,0.37899289465554525,0.3756439699584135,0.3735403726708075,0.3746197305519339,0.37503872213432793,0.0022540183380494907,0.5217121913242231,0.5139604338580177,0.5150876561968024,0.5203839180794413,0.512003204586064,0.5166294808089097,0.003763860035959557,20,0.5153494343429492,0.517296851055653,0.5170099200153724,0.5156835827348498,0.517783287912429,0.5166246152122507,0.0009438762227705162,LogisticRegression,,,,,,,,,
0.8081284523010254,0.04083740790440962,0.06814088821411132,0.018047765708299912,0.01,balanced,l2,saga,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.5094043887147336,0.5090125391849529,0.5156739811912225,0.5225313479623824,0.5114638447971781,0.5136172203700939,0.005045393969516297,16,0.5271614009306882,0.5176096007837374,0.5237325495958853,0.5253000244917952,0.5235109717868338,0.523462909517788,0.003205934155548214,0.5252214093184444,0.5272266779231743,0.5334977394163584,0.5380476556495004,0.5299073294018534,0.5307801623418663,0.004571444151748363,17,0.5428378247850865,0.5356186946674902,0.5417561075334765,0.5408605255558764,0.5432190760059612,0.5408584457095781,0.0027477739710415824,0.5176470588235295,0.47400379506641366,0.49259962049335865,0.5313092979127134,0.4774193548387097,0.498595825426945,0.02246012517080668,15,0.5332068311195446,0.49364326375711576,0.5028462998102466,0.533111954459203,0.48415559772296013,0.509392789373814,0.02028559736263241,0.5214067278287462,0.49920063948840926,0.5122336227308603,0.5346572465151804,0.5022958674386105,0.5139588208003614,0.012966887454660696,15,0.5379792274924616,0.5137750567789079,0.5215765388968164,0.5369582875435998,0.511989565566369,0.5244557352556309,0.011108291561804031,0.5118806021997244,0.5148811486339528,0.5285947264101423,0.5309427027974204,0.5148298986034525,0.5202258157289386,0.007902079615621118,17,0.5340117262748301,0.5346727884130378,0.5333536041121225,0.5320832128359715,0.5348390007631635,0.533792066479825,0.0010032370574112478,LogisticRegression,,,,,,,,,
0.170410680770874,0.05143305705228372,0.0474797248840332,0.007484358387096139,0.01,balanced,l2,liblinear,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.5092084639498433,0.5092084639498433,0.5158699059561128,0.521551724137931,0.5108759553203998,0.513342902662826,0.004775845302929148,17,0.5274063188831741,0.5175116336027431,0.523634582414891,0.5252020573108008,0.5240007836990596,0.5235510751821336,0.0032946232495561787,0.5250385208012327,0.5274261603375527,0.5337171052631579,0.5373596593108788,0.5292631578947369,0.5305609207215118,0.004431527031766144,18,0.5430917874396135,0.535515750463249,0.5417221255247261,0.5410010649627263,0.5437048064653339,0.5410071069711299,0.002908255819256774,0.5172675521821631,0.47438330170777987,0.49259962049335865,0.5267552182163188,0.47703984819734346,0.49760910815939274,0.021088279494719975,16,0.5333017077798862,0.4935483870967742,0.5019924098671726,0.5301707779886148,0.4851043643263757,0.5088235294117647,0.01948065295285071,0.5211240680558211,0.4995004995004995,0.5123347148213934,0.532004599463396,0.5017964071856288,0.5133520578053478,0.012122336153591099,16,0.5381522259454284,0.5136763108521774,0.5211010981434974,0.5355311706358714,0.5127356598475732,0.5242392930849096,0.010722263177199987,0.5118063609248035,0.5148327304111783,0.5285804315062755,0.5311087081326475,0.515006427624639,0.5202669317199088,0.007942834504896678,16,0.5339962962073355,0.5346755938798549,0.533346244565609,0.5319550837076358,0.534735477991612,0.5337417392704095,0.001026932760530333,LogisticRegression,,,,,,,,,
20.76731119155884,0.36814001938253255,0.038842296600341795,0.0038845964158547436,0.01,balanced,,saga,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': None, 'clf__solver': 'saga'}",0.5133228840125392,0.5107758620689655,0.5213557993730408,0.5197884012539185,0.5136194395453655,0.5157724772507659,0.004071937455040795,3,0.5320107763899093,0.5252020573108008,0.5296105804555474,0.5276022532451629,0.5263028996865203,0.5281457134175882,0.0024265601126021528,0.527788001472212,0.5282324058919804,0.5379146919431279,0.5347694633408919,0.5301775147928994,0.5317764154882224,0.003941083787490048,4,0.5459545115585384,0.5415970926235144,0.5457653609455895,0.5432098765432098,0.5428543248841109,0.5438762333109926,0.001707094264663772,0.5442125237191651,0.48994307400379505,0.5168880455407969,0.5370018975332068,0.5100569259962049,0.5196204933586337,0.01942451275923816,9,0.5556925996204933,0.5231499051233397,0.5300759013282732,0.5343453510436432,0.5222011385199241,0.5330929791271346,0.012156569851428512,0.5358744394618834,0.5083677889348297,0.5271917940778015,0.5358833554251089,0.5199226305609285,0.5254480016921105,0.010420282318204454,8,0.5507805153281926,0.532213696250181,0.5378062280406218,0.5387411517122632,0.5323274819865564,0.538373814663563,0.00676592211263972,0.5160820742674054,0.5180538487491575,0.5264615578524751,0.529262974738753,0.5215541473556013,0.5222829205926784,0.004960822904911772,1,0.5382888141618428,0.5394174476977398,0.5393046141282156,0.5374630125141114,0.5382001188552087,0.5385348014714236,0.0007338841416020606,LogisticRegression,,,,,,,,,
0.08338346481323242,0.009829087273715809,0.0,0.0,0.01,balanced,,liblinear,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': None, 'clf__solver': 'liblinear'}",,,,,,,,21,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,21,,,,,,,,LogisticRegression,,,,,,,,,
0.891847801208496,0.04745848825509197,0.04588375091552734,0.006417381912434155,0.1,balanced,l1,saga,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.5129310344827587,0.5107758620689655,0.5174373040752351,0.5262539184952978,0.5124436605918088,0.5159683559428132,0.005595737614217891,1,0.5259857947587558,0.5179035023267206,0.5209894685280431,0.5235855988243938,0.5228742163009404,0.5222677161477708,0.0027058841437056355,0.5284025924513915,0.5303430079155673,0.536595744680851,0.5425657120439388,0.5318044136737343,0.5339422941530966,0.0050915189311425925,3,0.5414147231020251,0.5371751171708564,0.5400147228941004,0.5399176147508827,0.5437424723530055,0.540452930054174,0.0021433049101710643,0.5259962049335863,0.45768500948766605,0.47855787476280837,0.5248576850094877,0.4664136622390892,0.49070208728652753,0.02911980944916869,17,0.5351992409867172,0.4784629981024668,0.48719165085388993,0.5222960151802657,0.47115749525616696,0.49886148007590136,0.0252563024188135,0.5271966527196653,0.4913424322672642,0.5059177532597794,0.5335648148148148,0.4969672462596037,0.5109977798642255,0.016617278844248216,17,0.5382890405076578,0.5061220393416299,0.512244999750611,0.5309606481481481,0.5048543689320388,0.5184942193360171,0.013604527884702282,0.5144245571077567,0.5169276255165571,0.5281905495314576,0.5309108851081686,0.5143278365353565,0.5209562907598594,0.007131038383920936,13,0.5317532486248889,0.5335226238800952,0.5308794898277809,0.5296293084812529,0.5335963864634946,0.5318762114555026,0.0015314583093604679,LogisticRegression,,,,,,,,,
0.13485865592956542,0.025225099087159482,0.04139871597290039,0.0054423289846546544,0.1,balanced,l1,liblinear,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.5111677115987461,0.5107758620689655,0.5148902821316614,0.5211598746081505,0.5085243974132863,0.513303625564162,0.004427885874269777,18,0.5249081557678178,0.5178545187362233,0.5197648787656135,0.5224099926524615,0.5219925548589341,0.52138602015621,0.002405054883902521,0.5269645608628659,0.5305039787798409,0.5347313237221494,0.537524557956778,0.5273588970271434,0.5314166636697555,0.004133110865236149,16,0.5406791138628229,0.5371099989351507,0.5396722725312635,0.5388473642800944,0.5427009294696555,0.5398019358157973,0.0018626942360360592,0.5191650853889943,0.45540796963946867,0.4645161290322581,0.5191650853889943,0.4645161290322581,0.4845540796963947,0.02845479957825574,18,0.5302656546489564,0.47855787476280837,0.47495256166982924,0.5198292220113852,0.4708728652751423,0.4948956356736243,0.024957820817915723,0.5230357484228637,0.4900959771288544,0.49715678310316813,0.5281853281853282,0.4939467312348668,0.5064841136150162,0.01585973138203462,18,0.5354217559994252,0.506146204405198,0.505248284214776,0.5291674715085957,0.504241808483617,0.5160451049223224,0.01342779570478428,0.5134176117826899,0.5154819188679666,0.5265883674835512,0.530514009390061,0.5136121097678367,0.5199228034584211,0.007189815246578098,18,0.5320181682799703,0.5335145389474696,0.530878990224101,0.5294190810174622,0.5334732178059167,0.5318607992549839,0.0015675107966766674,LogisticRegression,,,,,,,,,
0.682748556137085,0.047011691057175065,0.05744414329528809,0.014091617755378996,0.1,balanced,l2,saga,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.5090125391849529,0.5096003134796239,0.5211598746081505,0.5195924764890282,0.5102880658436214,0.5139306539210754,0.0053014340575349905,14,0.5297085476365417,0.5217732059759981,0.5275042860641685,0.5266715650257164,0.5255681818181818,0.5262451573041214,0.002616063679033198,0.5238800444279896,0.5272052761747733,0.5375836284927195,0.5345413363533409,0.5273092369477912,0.5301039044793228,0.005110493509465551,20,0.5439401029480581,0.538469155361917,0.5436694021101993,0.5420059392662132,0.5432711795703283,0.5422711558513431,0.002013259645907413,0.5370018975332068,0.4853889943074004,0.5184060721062619,0.537381404174573,0.498292220113852,0.5152941176470588,0.02074676416205652,13,0.5514231499051233,0.5159392789373815,0.527988614800759,0.5368121442125238,0.5086337760910816,0.5281593927893737,0.015143860521393392,0.530359820089955,0.5054337087532108,0.5278207109737248,0.5359576078728236,0.512390243902439,0.5223924183184306,0.011529107016177955,13,0.5476560659599529,0.5269635156742091,0.5357142857142857,0.5393965393965394,0.5253822030576245,0.5350225219605222,0.008210972299058806,0.5112788328595265,0.5161078973195519,0.5281956987710226,0.5293896306611854,0.5177803013295034,0.5205504721881579,0.007070414781385432,14,0.5368965436072346,0.5375625633511878,0.5369443134052314,0.5354909999279418,0.5368088827072396,0.5367406605997671,0.0006793532454678268,LogisticRegression,,,,,,,,,
0.21463851928710936,0.025086884266208927,0.04816761016845703,0.004754048691317461,0.1,balanced,l2,liblinear,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.5084247648902821,0.5109717868338558,0.5205721003134797,0.5195924764890282,0.5100921026846953,0.5139306462422681,0.005098416009456679,15,0.5297085476365417,0.5213323536615234,0.5269164829782023,0.5256918932157727,0.5255681818181818,0.5258434918620443,0.002703298418944222,0.5232815964523282,0.5284952849528495,0.5370662460567823,0.53475123433346,0.5272067714631197,0.5301602266517079,0.005051355014025161,19,0.5439236598372158,0.5379072063178677,0.5430832356389215,0.5411583901642494,0.5433678651228926,0.5418880714162293,0.0021973415216566786,0.537381404174573,0.48918406072106263,0.5168880455407969,0.5343453510436432,0.4963946869070209,0.5148387096774194,0.019448521275882532,14,0.5516129032258065,0.5169829222011385,0.5274193548387097,0.5345351043643264,0.5075901328273245,0.5276280834914612,0.01508549640146506,0.5302377831866691,0.5080804099329918,0.5267839876232837,0.5345482156416097,0.5113369820172009,0.522197475680351,0.010540069090020617,14,0.5477412972820199,0.5272375423318819,0.5351366961879092,0.5378263567371486,0.5248700088295889,0.5345623802737097,0.00815184089295127,0.5109835585549236,0.5159169911840408,0.5279983368724749,0.5293465922409414,0.5179234620600999,0.5204337881824962,0.007108734141141969,15,0.536836360579348,0.5374817812792736,0.5368735618379652,0.535398083251267,0.536606621345673,0.5366392816587054,0.0006848610219143928,LogisticRegression,,,,,,,,,
